"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"507","0.7399999835","0.7399999835","0.7399999835"
"508","0.0299999993","0.0299999993","0.0299999993"
"509","6.1999999397","6.1999999397","6.1999999397"
"510","0","0","0"
"511","0","0","0"
"512","0","0","0"
"513","1.9399999678","1.9399999678","1.9399999678"
"514","0.2099999953","0.2099999953","0.2099999953"
"515","0.939999979","0.939999979","0.939999979"
"516","0","0","0"
"517","0.2399999946","0.2399999946","0.2399999946"
"518","0.3899999913","0.3899999913","0.3899999913"
"519","0.3099999931","0.3099999931","0.3099999931"
"520","0","0","0"
"521","4.7399999034","4.7399999034","4.7399999034"
"522","1.9199999571","1.9199999571","1.9199999571"
"523","0.2099999953","0.2099999953","0.2099999953"
"524","0.3899999913","0.3899999913","0.3899999913"
"525","0.2199999951","0.2199999951","0.2199999951"
"526","0.2599999942","0.2599999942","0.2599999942"
"527","2.2599999495","2.2599999495","2.2599999495"
"528","0","0","0"
"529","0.669999985","0.669999985","0.669999985"
"530","0.939999979","0.939999979","0.939999979"
"531","0.0099999998","0.0099999998","0.0099999998"
"532","0.179999996","0.179999996","0.179999996"
"533","0","0","0"
"534","0","0","0"
"535","0","0","0"
"536","0","0","0"
"537","2.7399999537","2.7399999537","2.7399999537"
"538","1.899999965","1.899999965","1.899999965"
"539","1.9499999713","1.9499999713","1.9499999713"
"540","0.5399999879","0.5399999879","0.5399999879"
"541","0.0199999996","0.0199999996","0.0199999996"
"542","0.7999999821","0.7999999821","0.7999999821"
"543","0","0","0"
"544","0","0","0"
"545","0.3199999928","0.3199999928","0.3199999928"
"546","0","0","0"
"547","1.029999977","1.029999977","1.029999977"
"548","0.0599999987","0.0599999987","0.0599999987"
"549","0.6799999848","0.6799999848","0.6799999848"
"550","0","0","0"
"551","0","0","0"
"552","0.1299999971","0.1299999971","0.1299999971"
