"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"439","0.2556007245","0.2556007245","0.2556007245"
"440","0.2786925105","0.2786925105","0.2786925105"
"441","0.2649760702","0.2649760702","0.2649760702"
"442","0.2681752187","0.2681752187","0.2681752187"
"443","0.2589410066","0.2589410066","0.2589410066"
"444","0.2677949891","0.2677949891","0.2677949891"
"445","0.2625870895","0.2625870895","0.2625870895"
"446","0.2690393744","0.2690393744","0.2690393744"
"447","0.2689579493","0.2689579493","0.2689579493"
"448","0.2631787622","0.2631787622","0.2631787622"
"449","0.2589109306","0.2589109306","0.2589109306"
"450","0.25487832","0.25487832","0.25487832"
"451","0.2738689154","0.2738689154","0.2738689154"
"452","0.2797254161","0.2797254161","0.2797254161"
"453","0.2623298293","0.2623298293","0.2623298293"
"454","0.296513754","0.296513754","0.296513754"
"455","0.2705173931","0.2705173931","0.2705173931"
"456","0.2687652471","0.2687652471","0.2687652471"
"457","0.2708194663","0.2708194663","0.2708194663"
"458","0.2781160486","0.2781160486","0.2781160486"
"459","0.2706249173","0.2706249173","0.2706249173"
"460","0.2699232253","0.2699232253","0.2699232253"
"461","0.2813219439","0.2813219439","0.2813219439"
"462","0.2707442187","0.2707442187","0.2707442187"
"463","0.2657452174","0.2657452174","0.2657452174"
"464","0.2700534145","0.2700534145","0.2700534145"
"465","0.2761871921","0.2761871921","0.2761871921"
"466","0.2701206021","0.2701206021","0.2701206021"
"467","0.2621280515","0.2621280515","0.2621280515"
"468","0.2671596735","0.2671596735","0.2671596735"
"469","0.2779173594","0.2779173594","0.2779173594"
"470","0.272700781","0.272700781","0.272700781"
"471","0.2828257391","0.2828257391","0.2828257391"
"472","0.2824428017","0.2824428017","0.2824428017"
"473","0.2757694507","0.2757694507","0.2757694507"
"474","0.2759228092","0.2759228092","0.2759228092"
"475","0.3085527617","0.3085527617","0.3085527617"
"476","0.2886001025","0.2886001025","0.2886001025"
"477","0.2845958789","0.2845958789","0.2845958789"
"478","0.2804133768","0.2804133768","0.2804133768"
"479","0.2875079661","0.2875079661","0.2875079661"
"480","0.2955122324","0.2955122324","0.2955122324"
"481","0.2786431637","0.2786431637","0.2786431637"
"482","0.2950904831","0.2950904831","0.2950904831"
"483","0.2890552607","0.2890552607","0.2890552607"
"484","0.2851371165","0.2851371165","0.2851371165"
"485","0.2847276897","0.2847276897","0.2847276897"
"486","0.2929262634","0.2929262634","0.2929262634"
"487","0.2834365024","0.2834365024","0.2834365024"
"488","0.2945785871","0.2945785871","0.2945785871"
"489","0.293129554","0.293129554","0.293129554"
"490","0.28742364","0.28742364","0.28742364"
"491","0.2918827313","0.2918827313","0.2918827313"
"492","0.3047509631","0.3047509631","0.3047509631"
"493","0.3113356306","0.3113356306","0.3113356306"
"494","0.2888279818","0.2888279818","0.2888279818"
"495","0.310955756","0.310955756","0.310955756"
"496","0.3151936585","0.3151936585","0.3151936585"
"497","0.2989788724","0.2989788724","0.2989788724"
"498","0.2970773906","0.2970773906","0.2970773906"
"499","0.2970435701","0.2970435701","0.2970435701"
"500","0.2826334679","0.2826334679","0.2826334679"
"501","0.2851057779","0.2851057779","0.2851057779"
"502","0.2759494854","0.2759494854","0.2759494854"
"503","0.2804530813","0.2804530813","0.2804530813"
"504","0.3046391426","0.3046391426","0.3046391426"
"505","0.2835241201","0.2835241201","0.2835241201"
"506","0.2970075043","0.2970075043","0.2970075043"
"507","0.3003434698","0.3003434698","0.3003434698"
"508","0.3052222033","0.3052222033","0.3052222033"
"509","0.3062874525","0.3062874525","0.3062874525"
"510","0.2826102192","0.2826102192","0.2826102192"
"511","0.2954428286","0.2954428286","0.2954428286"
"512","0.3066559341","0.3066559341","0.3066559341"
"513","0.2763578202","0.2763578202","0.2763578202"
"514","0.3206522768","0.3206522768","0.3206522768"
