"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"428","-6.8510606337","-6.8510606337","-6.8510606337"
"429","-6.8558006811","-6.8558006811","-6.8558006811"
"430","-6.8503080583","-6.8503080583","-6.8503080583"
"431","-6.8915047097","-6.8915047097","-6.8915047097"
"432","-6.8989774513","-6.8989774513","-6.8989774513"
"433","-6.9043826938","-6.9043826938","-6.9043826938"
"434","-6.9231423998","-6.9231423998","-6.9231423998"
"435","-6.9661937499","-6.9661937499","-6.9661937499"
"436","-6.9416911864","-6.9416911864","-6.9416911864"
"437","-6.9645359349","-6.9645359349","-6.9645359349"
"438","-6.9626468062","-6.9626468062","-6.9626468062"
"439","-6.9726543021","-6.9726543021","-6.9726543021"
"440","-7.0061575818","-7.0061575818","-7.0061575818"
"441","-7.0137782574","-7.0137782574","-7.0137782574"
"442","-7.0167592359","-7.0167592359","-7.0167592359"
"443","-7.028613677","-7.028613677","-7.028613677"
"444","-7.0187342358","-7.0187342358","-7.0187342358"
"445","-7.0133779979","-7.0133779979","-7.0133779979"
"446","-7.0695019603","-7.0695019603","-7.0695019603"
"447","-7.0455679607","-7.0455679607","-7.0455679607"
"448","-7.0850573587","-7.0850573587","-7.0850573587"
"449","-7.0985109544","-7.0985109544","-7.0985109544"
"450","-7.098903811","-7.098903811","-7.098903811"
"451","-7.1165965009","-7.1165965009","-7.1165965009"
"452","-7.1217168927","-7.1217168927","-7.1217168927"
"453","-7.1315676689","-7.1315676689","-7.1315676689"
"454","-7.1582129598","-7.1582129598","-7.1582129598"
"455","-7.1525310612","-7.1525310612","-7.1525310612"
"456","-7.1692544723","-7.1692544723","-7.1692544723"
"457","-7.1755865002","-7.1755865002","-7.1755865002"
"458","-7.1776460218","-7.1776460218","-7.1776460218"
"459","-7.1913749218","-7.1913749218","-7.1913749218"
"460","-7.1862590504","-7.1862590504","-7.1862590504"
"461","-7.1966932034","-7.1966932034","-7.1966932034"
"462","-7.2396516442","-7.2396516442","-7.2396516442"
"463","-7.2182498217","-7.2182498217","-7.2182498217"
"464","-7.2440757036","-7.2440757036","-7.2440757036"
"465","-7.2433346844","-7.2433346844","-7.2433346844"
"466","-7.2495234275","-7.2495234275","-7.2495234275"
"467","-7.2492346811","-7.2492346811","-7.2492346811"
"468","-7.2844428039","-7.2844428039","-7.2844428039"
"469","-7.2943319893","-7.2943319893","-7.2943319893"
"470","-7.305558629","-7.305558629","-7.305558629"
"471","-7.3310137057","-7.3310137057","-7.3310137057"
"472","-7.316329391","-7.316329391","-7.316329391"
"473","-7.326229465","-7.326229465","-7.326229465"
"474","-7.3411003828","-7.3411003828","-7.3411003828"
"475","-7.3472358823","-7.3472358823","-7.3472358823"
"476","-7.361645658","-7.361645658","-7.361645658"
"477","-7.3907312417","-7.3907312417","-7.3907312417"
"478","-7.3899489903","-7.3899489903","-7.3899489903"
"479","-7.3908572698","-7.3908572698","-7.3908572698"
"480","-7.3869720459","-7.3869720459","-7.3869720459"
"481","-7.4242757154","-7.4242757154","-7.4242757154"
"482","-7.4171849799","-7.4171849799","-7.4171849799"
